飞机上遗失东西怎么找回？	三、旅客来电反映将物品遗失在飞机上,若是刚刚下机,可联系候机寻找。
哪个最近坐飞机了，询问一下可携带物品之类的问题	26.国内航班可携带不超过随身行李重量的水果(榴莲除外)上飞机,国际航班不允许携带水果登机;如果旅客需要托运榴莲,需要向相关航空公司确认,机场这边安检一般没有问题。
孩子未满16岁可以单独乘坐国际航班？（无大人陪同）	无成人陪伴儿童:是指年龄五周岁(含)至十二周岁(不含)的无成人陪伴的、单独乘机的儿童。五周岁以下的无成人陪伴儿童原则上不予接受;
长沙黄花机场接机	机场有A B C三个候机楼，国内航班到达只可能是A楼和C楼，A楼的话出行李有两个出口，从东边出口出来的话左手边就是大巴车票销售点，前方五米就是大巴站。如果C楼到达的话，走出C候机楼从外面便道步行到A楼这边来买票上车，朝东边走就行了。乘大巴的地方也有正规的士，还有拉客的黑的士，最好别搭理。说的这么详细给点鼓励啦~
长沙黄花机场接人怎么接	机场有A B C三个候机楼，国内航班到达只可能是A楼和C楼，A楼的话出行李有两个出口，从东边出口出来的话左手边就是大巴车票销售点，前方五米就是大巴站。如果C楼到达的话，走出C候机楼从外面便道步行到A楼这边来买票上车，朝东边走就行了。乘大巴的地方也有正规的士，还有拉客的黑的士，最好别搭理。说的这么详细给点鼓励啦~
在东航申请了特殊旅客服务，怎样知道有没有通过？	你在申请特殊旅客服务的时候，在那个页面里有一个审核查询的选项，你到时候申请就可以直接查询申请状态，或者咨询东航的客服都可以。
长沙黄花机场能办临时乘机证明吗？	黄花机场机公安办理临时乘机证明的位置:T二航站楼安检十六号通道边设有办理柜台
长沙黄花机场T1如何去T2	长沙黄花机场T1航站楼，2018年5月16日刚恢复启用；T1和T2 分别位于磁浮机场站的两边，T1 在北，T2 在南。T1、T2航站楼安检区外通过磁浮连廊实现互相连通 （步行8分钟）。您也可以乘坐电瓶车往返T1与T2航站楼之间（4分钟）。
长沙黄花机场t1航站楼哪儿可以办乘机临时身份证	黄花机场机公安办理临时乘机证明的位置:T二航站楼安检十六号通道边设有办理柜台
在国外免税店买的酒可以直接携带搭乘国内的航班吗？？	确保酒已经装进免税店封口的袋子内。直接拎着上飞机。到国内转机，也是直接拎着过安检，向安检小哥展示一下，免税店封好的袋子。再次直接拎上飞机。
七十岁老人有人陪护能坐飞机吗	老年旅客:是指年迈体弱,虽然身体并未患病但在航空旅行中需要他人帮助的老年人。老年旅客乘机首先要确认老人身体健康状况是否适应乘机,身体健康的老人有人陪同即可,建议带上医生诊断证明。如果老人身体健康状况欠佳或者无人陪同,建议旅客提前向航司申请,经航司同意后机场才能提供相应的服务。目前各个航空公司(除国航、深航、厦航、河北航、山东航、西藏航外)针对七十岁以上的老人乘机可以申请办理无陪老人服务(长沙始发海航航班不可办理无陪老人服务。但是如果旅客在现场柜台申请,年龄在七十岁以上,工作人员确实觉得老人身体没有问题,情况比较特殊,柜台会酌情考虑。不建议告知旅客。)但根据各航空公司规定,部分航空公司会要求老年旅客签署“航空运输免责单”;如有其他特殊情况或要求,旅客可以直接与航空公司联系。
请问申请东航的特殊旅客服务，有什么需要提前办理的吗？	需要轮椅服务的旅客建议提前向航空公司申请。在办理手续时需要出具医疗部门出具的适宜乘机“诊断证明书”和“特殊旅客乘机申请书”;旅客自带轮椅需要办理行李托运手续,轮椅的重量一般不计入旅客的免费行李额内;旅客在隔离区内必须使用机场提供的轮椅。
长沙黄花机场有接机专车吗	专人接送机,代办出港值机手续;
长沙黄花机场有没有陪送服务	关于贵宾厅的现金服务的旅客,每个厅收费标准不同,若有需求可直接联系乐翔分公司营销部。隔离区外的送机服务只送到安检口,不送到登机口。
台湾人没有台胞证,从长沙黄花机场入境落地签证？？	台湾落地签办理时间是跟港澳台航班走,台湾同胞如果从地区航线或国际航线到达长沙需办理落地签,可告知旅客拨打值班手机一百三十七亿五千五百万零六百三十七提前申请办理。
请问长沙黄花机场能办落地签证吗？	长沙航空口岸正式开办签证业务，这意味着今后外国人来湖南可以直接在长沙黄花国际机场办理落地签证。
无陪伴儿童乘机	无成人陪伴儿童:是指年龄五周岁(含)至十二周岁(不含)的无成人陪伴的、单独乘机的儿童。五周岁以下的无成人陪伴儿童原则上不予接受;
长沙机场打包相关问题	台湾落地签办理时间是跟港澳台航班走,台湾同胞如果从地区航线或国际航线到达长沙需办理落地签,可告知旅客拨打值班手机一百三十七亿五千五百万零六百三十七提前申请办理。
早上8:25长沙黄花机场的飞机要如何安排去泰国还要办签证	如果时间紧并且在泰国居留15天以内，你可以选择落地签，就是到泰国后在机场办理落地签，但中国公民的落地签只有15天的居留期。希望对你有帮助。
在机场退税时 需不需要出示所购的商品（欧洲）	"需要出示买过的商品，检查商品上是否有退税购物标志。
这指的是在国外机场免税商店购物可享受它的退税优惠待遇：
请注意商店里是否有蓝白灰三色的退税购物（TAX FREE SHOPPING）专用标志。在欧洲共有22万多家退税商店遍布机场和市内，每天平均有逾22,000顾客享受到我们的服务。请务必向这些加盟商店索取您的退税支票。正确填写相应表格可以确保您及时获得退税。如果商店的全球退税支票（Global Tax Free Cheque）首联是蓝色的，则可以现金方式退税； 如果是绿色的，则只能以邮寄银行支票或信用卡划账的形式退税。请在上用西方文字(英文为宜)填写您的详细邮寄地址(含邮编)，或填写您有效国际信用卡的卡号，并用我公司提供的邮资已付的信封寄回支票发出国的GLOBAL REFUND分公司。我们将会尽快将增值税退回给您。
欧洲各国的退税率因国而异，可退税的最低购物金额(即，同一顾客在同一家商店一天之内的购物总额)也不尽相同。您的退税款额将是扣除手续费后的增值税金额。
全球退税支票(Global Refund Cheque)必须是购物当月加上1到3个月之内离开欧洲时，由海关盖章后方可生效。离开欧洲最一站的海关盖章是唯一可以退税单有效的法律手续，对于中国旅游者而言，只要在欧洲海关检验商品盖章后，在旅游目的国或回国都是可以退税的。简而言之，如果在欧洲购物准备退税，请注意：“要退税，一定要目的国海关盖章”。
欧洲关盖章后，您回到北京、上海、广州、香港的指点退税点均可退税，在北京、上海、广州现金退税的币种只能为美元，在香港只能为港币，且只能按退税支票上金额四舍五入后的整数金额退税。"
从长沙到乌鲁木齐儿童单独坐飞机怎样办理机票	无陪儿童服务一般需要旅客购买无陪儿童机票且向相应航司申请无陪儿童服务。没有任何证件的无陪儿童买机票与航空公司营业部联系,如果买到UM票。可以办理无陪。旅客可凭无陪申请单到机场联系八千四百七十九万七千三百七十三办理相关手续;如果是南航航班,可以到A岛问询柜台咨询工作人,或者咨询八千四百七十九万九千三百三十三。
航空意外险的内容有哪些？	一般的航空意外险保障的内容包括航空意外身故、残疾和烧烫伤，航班延误，航班取消等保障，有的还包含意外医疗和行李遗失的保障。每家保险公司的航空意外险保障内容都略有不同。下面给您一款比较不错的航空意外险供您参考一下：航空交通工具意外保障计划，保障项目丰富，涵盖12种类的交通工具乘坐或者驾驶意外保障，保障全面。
黄花机场乘机怎么办理临时身份证	黄花机场机公安办理临时乘机证明的位置:T二航站楼安检十六号通道边设有办理柜台
长沙黄花机场T3航站楼如何接机？	机场有A B C三个候机楼，国内航班到达只可能是A楼和C楼，A楼的话出行李有两个出口，从东边出口出来的话左手边就是大巴车票销售点，前方五米就是大巴站。如果C楼到达的话，走出C候机楼从外面便道步行到A楼这边来买票上车，朝东边走就行了。乘大巴的地方也有正规的士，还有拉客的黑的士，最好别搭理。
什么是机场BGS	机场BGS主要是负责长沙黄花机场的地面服务，客运与货运，飞机配载、特殊旅客服务、行李处理、货物控制及货运文件处理、货物装卸和仓储服务、特种车辆服务、机舱内部清洁、飞机航线维护服务、客票销售代理服务等。
行李拿错了怎么办	旅客的托运行李全部或部分损坏、遗失,赔偿金额每公斤不超过RMB一百元。如行李的价值每公斤低于RMB一百元时,按实际价值赔偿。
用驾驶证可以在机场办理临时身份证吗	符合办理《临时身份证明》的旅客(现役军人除外)须提供户口本或驾驶证、社保卡、暂住证(居住证)、工作证、介绍信,或过期的身份证、护照、《临时身份证明》等任一项身份证明材料(原件或复印件)及两张本人近期一存证件照片。
必须去机场失物招领处领取丢失物品吗	"一、去降落机场的“失物招领”柜台。
（失物招领一般和机场的行礼寄存在一起，因为两者都需要储物空间）。
这里要说明，招领台的服务人员会让你提供你丢失物品的时间、航班号、以及你回忆的可能丢失物品的位置，方便工作人员查找。
二、如果你觉得丢失在始发站，你需要拨打电话。
如果降落机场未找到，而且你觉得可能是在始发机场丢失的，就需要打电话到始发机场的失物招领处的电话。
这里推荐在网站上搜索“**机场 失物招领”，方便你找到对应电话号。
三、如果东西丢了好长时间，你不确定是否丢失在机场怎么办。
这里提供一个小建议——寻找对方机场的微博，扫一扫最近丢失物品的信息，说不定有意外收获。
四、其他建议
丢东西这件事很麻烦，对一些丢失物品的补充措施我这里写一下：
储蓄卡——必须到柜台挂失
信用卡——可以电话联系客服直接挂失
身份证——1.立即到派出所挂失；2.在网上发表一份证明（表明自己身份证丢失的时间证据）；3.联系报社，登报声明（这是相对来说最有法律效益的行为了）；4"
长沙黄花机场可以办无人陪伴票吗	"可以的，具体流程如下：
无成人陪伴儿童必须由儿童的父母或监护人陪送到上机地点并在儿童的下机地点安排人员迎接。如果运输的全航程中包括两个以上的航班时，也就是该儿童需要在某地中转，一定要取得有关承运人（也就是航空公司）的同意。由儿童的父母或监护人安排人员在中转地接送或照料，并将接送人的姓名、地址和电话号码提供给承运人。
如果儿童的父母或监护人在航班的中转站安排人员接送或照料有困难，要求由承运人在当地照料儿童时，应预先提出并经承运人同意后才可以。
有些航空公司对办理“无成人陪伴儿童”手续在时间上有限制，如有些航空公司限制在航班起飞前一个星期提出申请，有些航空公司限制在航班起飞前三天提出申请。"
台湾到黄花机场可以办理签证	台湾落地签办理时间是跟港澳台航班走,台湾同胞如果从地区航线或国际航线到达长沙需办理落地签,可告知旅客拨打值班手机一百三十七亿五千五百万零六百三十七提前申请办理。
请问为什么在机场用wifi输入手机号码获取验证码时总是说手机号码不正确?	选择无线网络Airport Free WiFi，通过浏览器打开任意网站，手机短信认证或微信认证，即可成功登录
机场有没有专门陪同老人登机的服务？	老年旅客乘机首先要确认老人身体健康状况是否适应乘机,身体健康的老人有人陪同即可,建议带上医生诊断证明。如果老人身体健康状况欠佳或者无人陪同,建议旅客提前向航司申请,经航司同意后机场才能提供相应的服务。
机场涉外警务警务室干嘛的呀？	"1，处理外国人涉嫌犯罪，走私案件
2，处理出入境纠纷及案件（无论当事人国籍）
3，处理境外路过转机不入境人员发生的纠纷及事件"
身份证过期了一个星期左右,现在想在长沙黄花机场搭飞机.如何办理临时登机证明吗?	黄花机场机公安办理临时乘机证明的位置:T二航站楼安检十六号通道边设有办理柜台旅客由于特殊原因无法提供有效证件,可通过以下方式办理临时乘机证明。a.需要办理临时登机证明的旅客,可到T二航站楼始发层十六号号安检口附近公安执勤点办理。b.异地机场开具的,有标注有效期的临时乘机证明,在有效期内可以在长沙机场直接使用。c.部分地区停止开具户籍证明,改开常住人口基本信息,同样为A四纸打印,有统一格式,内容有照片、户籍信息、户籍公章,效力等同于户籍证明。d. 证件只认可扫描件、复印件以及传真件,用手机拍照下来的或是拍照下来后打印出来的不认可,拍照之后打印出来的能够证明身份的证件,可以在公安执勤点换取临时乘机证明。e.临时登机证明可以提前来机场办理,在证明上标明有效期即可,在有效期以内都可以使用。f.没有公章的常住人口信息和一个有公章的接警证明(有各类信息没有照片)可以换到临时登机证明。g.如果儿童未上户,公安在系统中查询不到其户籍信息,凭出生证明等证件也无法开具临时乘机证明。十二周岁以下儿童乘机可以凭户口本,出生证明原件或者复印件。h.12岁以下儿童或婴儿无法提供任何纸质证明,家人也不清楚孩子的任何证件号码,如果已经上户且为湖南省内户口,机场公安办可以根据父母的信息调取孩子的信息,如查实真实有效,可以开具临时登机证明。i. 符合办理《临时身份证明》的旅客(现役军人除外)须提供户口本或驾驶证、社保卡、暂住证(居住证)、工作证、介绍信,或过期的身份证、护照、《临时身份证明》等任一项身份证明材料(原件或复印件)及两张本人近期一存证件照片。j. 无法提供上述身份证明材料的,有其他能够证明其身份的书面材料,申请人应如实提供本人姓名、身份证件号、户籍所在地、家庭住址、同户籍亲属人员情况等相关信息,k.现役军人申请《临时身份证明》,应当提供所在单位保卫或政府部门出具的介绍信原件,经机场公安机关查验无误后签发《临时身份证明》l.根据湖南物价局规定,收取三十元办证服务费。m.《临时身份证明》仅限于中华人民共和国国籍(不含港澳台)旅客乘坐国内民航飞机时作为有效乘机证明使用,不得作为其他用途。n.临时乘机证明不能代办,必须本人办理。长沙机场办理临时乘机证明有效期最短为七天,最长为十五天,一次性乘机。办理时间一般为五-十分钟/人,具体要看现场操作及排队情况。o.  《临时身份证明》式样统一,在全国民用航空运输机场(不含港澳台)通用、有效。
当天可以办理无人陪伴机票吗	（1）因航班机型和航班的限制，无成人陪伴儿童旅客预订数量有限，为了避免这种情况的出现，在起飞前至少48小时并在订票时申请“无成人陪伴儿童旅客”服务。（2）为了儿童安全，不能接受儿童的行程中涉及夜间停站或中转/中途停留，除非已安排人员在中转站接机并照看的孩子。必须先提供完备的联系人详细信息，才能接的孩子登上首航班。（3）提供申请人的有效证件及无成人陪伴儿童的旅行证件，并填写无人陪伴儿童服务申请表。（4）请注意，如果在订票时未申请此项服务，则可能会导致出现取消订票或重新出票的费用。（5）在地区和国际航线上，无人陪伴儿童购票并无儿童折扣，需按成人销售价格收取费用。（6）如果是通过旅行代理机构订票，请记得携带孩子的护照。此外，请检查是否已完成所有业务和其他手续，这一点十分重要。儿童出行时的注意事项：（1）请于航班起飞前至少60分钟带着小孩到机场办理登机手续，并在航班起飞后再离开机场。（2）您子需持有有效证件、无成人陪伴儿童的旅行证件和其他手续，包括机票，无人陪伴儿童服务申请表。协助办理无人陪伴儿童的值机和安检手续：（1）在起飞和到达期间，请询问机场工作人员，会有指定的地面服务人员协助办理值机、海关、安检以及行李托运等手续，地面人员会负责陪伴儿童候机并保管相关文件凭证。（2）登机之后，地面人员会将相关资料及“无人陪伴儿童”亲自交给机上指定的空中乘务员，空乘人员会陪伴孩子度过空中旅程。请注意：为保证孩子顺利乘机，建议家长等飞机起飞后再离开机场。
机场的贵宾休息室和普通的休息室有什么区别？	1、贵宾休息室与普通候机室最大的差别就是在于贵宾室可以无限畅饮，有免费餐食，至于餐食的水准还是要视具体的运营商，对于土豪航空公司的自助餐就不用多少说，那必须是很赞的。2、很多VIP贵宾室有单独的安检通道，可以优先登机，在上下飞机还有专门的小车接送，不用和大队人马一起排队。3、对于那些长时间延误或者要过夜转机的朋友来说，贵宾室绝对是一种享受，有地方淋浴，有个地方能够舒舒服服的坐着或者躺着刷刷朋友圈，无疑是雪中送炭的服务。机场的贵宾休息室一般分为三类：第一类就是航空公司自建的休息室，一般是为了两舱或者自己的精英会员提供服务。比如东航在上海、北京、青岛等机场都有自己的休息室。第二类就是机场自营的休息室，为那些在本场没有自建休息室的航空公司提供两舱服务，比如在长沙黄花机场如果乘坐吉祥航空的两舱，进的就是虹桥V1休息室，长沙黄花机场的自营休息室。第三类则是由第三方运营的休息室，这些休息室一般都是由某些公司，比如银行、电信等在机场内租赁一块场地自己办的，面向的客户主要是自己公司的高端客户。扩展资料：1、机场休息室的类别：机场休息室一般分为三类。（1）第一类要客休息室，给省部级或者当地政府规定的接待客人使用，部分享受单独安检通道、随员不限。不论是否接廊桥都单独小车接送、专人引导、定点餐食、各种免费饮料、电视、Wi-Fi、报纸杂志等服务，同时休息室内也提供改签、挑换座位等航空公司的服务。算是休息室服务中级别最高、服务最好的。（2）第二类高舱休息室，主要是给航空公司高舱（头等舱、公务舱、高端经济舱）以及高端会员（一般都是第三级别会员，如国航只给金卡会员以上）提供候机服务的。这一类休息室大部分在隔离区里，因此大部分不包含独立的安检，提供的服务次于要客休息室。但基本包括电视、报纸、杂志、Wi-Fi、小吃、饮料，航空公司基地站的自营休息室水平较高甚至包括淋浴间、睡眠室、独立吸烟室、独立休息室、按摩室，餐食也相对好一些。更重要的是航空公司自营休息室可以提供改签、改座位、候补等航司服务，你不用奔波于柜台和休息室两边反复安检。（3）第三类则是银行卡、商旅卡休息室，这类中银行卡较为高端，大型航站的银行卡休息室提供的服务堪比要客。有些设立在隔离区外为用户提供头等舱安检、小车接送服务，其他服务方面好的很好，差的地板就是航空公司代办水平，很多银行卡休息室在小航站就是代办休息室当然也是商务卡休息室。参考资料来源：人民网-订机票可享受机场贵宾室服务
孕妇坐飞机安检怎么过	孕妇旅客:是指已经怀孕但在预产期前四周乘坐飞机的准妈妈。怀孕八个月(三十二周)或不足八个月的孕妇,除医生诊断不适宜乘机外,可按一般旅客运输;孕妇乘机时需要携带诊断证明,内容包括孕妇姓名、年龄、孕期、健康状况等说明;如果旅客表示医院不愿开具证明的,建议旅客与航空公司联系,航空公司同意旅客乘坐即可;怀孕八个月(三十二周)以上的孕妇建议使用其他交通工具,航空公司会拒绝承运。安检门和检查设备都是符合国家安全标准的,旅客可以放心接受检查;它通过感应寄生电流及均化磁场的数字信号处理方式获得很高的分辨,但发射磁场厚度很低,对心脏起搏器佩带者、孕妇、体弱者、磁性媒质(U盘、信用卡等)和其他电子装置均无害,广大旅客通过安全门时尽可放心接受检查;如果孕妇旅客仍然担心安检仪器的辐射,可以现场申请手动检查。
在长沙黄花机场怎么登机？	一、航班起飞前四十分钟开始登机,航班起飞前十五分钟停止登机,开始登机时机场中央大广播会自动播放登机广播,主要是催促已经办理值机手续但还未过安检的旅客尽快过安检,开始登机后登机口也会有相应区域广播,主要是航班动态、登机口变更以及催促旅客登机广播,该广播覆盖范围有限,若旅客离开登机口则有可能听不到。若旅客来电质疑没有听到广播通知,中央大广播记录可联系广播室查询,登机口区域广播可联系候机查询,但广播录音均不可对外。二、旅客质疑登机口无工作人员,可告知旅客候机工作人员工作地点并不固定,可能目前还在其他登机口办理旅客登机服务,等旅客的航班快到登机时间工作人员会提前过来。若已经到登机时间还无工作人员可联系候机室确认。三、旅客来电反映将物品遗失在飞机上,若是刚刚下机,可联系候机寻找。
没有成人陪伴的儿童如何乘坐飞机	无成人陪伴儿童:是指年龄五周岁(含)至十二周岁(不含)的无成人陪伴的、单独乘机的儿童。五周岁以下的无成人陪伴儿童原则上不予接受;无陪儿童服务一般需要旅客购买无陪儿童机票且向相应航司申请无陪儿童服务。没有任何证件的无陪儿童买机票与航空公司营业部联系,如果买到UM票。可以办理无陪。旅客可凭无陪申请单到机场联系八千四百七十九万七千三百七十三办理相关手续;如果是南航航班,可以到A岛问询柜台咨询工作人,或者咨询八千四百七十九万九千三百三十三。送机的无陪儿童家长一般要求留在机场,直到飞机起飞才可以离开。若小孩已过安检,或者已经登机,航班延误时间较长还未起飞,家长担心小孩状况的情况下,可以让家长拨打八千四百七十九万七千三百七十三咨询。如果是南航航班,可以到A岛问询柜台咨询工作人,或者咨询八千四百七十九万九千三百三十三。为无成人陪伴儿童办理乘机手续,座位安排应根据以下原则:安排在便于指定的随机服务员或乘务员照料的适当位置;靠近机上厨房,最好是过道座位;若有可能,与其他旅客分开座位;若座位满座,应安排与女乘客一起的座位;不得安排在紧急出口的座位。国航五-十八岁的未成年人都可以申请无陪服务,五-十二岁免费,十二-十八岁的如果需要无陪服务,需收取二百元每人每次的服务费。厦航无陪服务长沙受理点:1.市内售票处(长沙市芙蓉中路二段一百三十六号)TEL:八千五百一十六万八千二百六十八/八千五百五十六万五千七百七十七2.厦航机场售票柜台(长沙黄花国际机场T二航站楼国内出发厅一号和二号门之间)
机场内自助取号机是干嘛的？	使用自助乘机的旅客无需在机场乘机柜台排队等候服务人员为您打印登机牌发票，分配座位，取而代之的是旅客可以通过特定的乘机凭证在自助乘机设备获全部乘机信息，并根据屏幕提示操作选择座位、确认信息并最终获得登机牌。拥有南航有效国内航班电子客票的旅客，都可以通过自助乘机来快捷方便的办理乘机手续。目前共支持9种语言，分别是中文简体、中文繁体、英语、俄语、韩语、法语、日本语、荷兰语和西班牙语。扩展资料：自助值机的相关要求规定：1、必须在飞机起飞前15分钟到达乘机口，否则将视为自动放弃座位，机票将按照自愿变更或退票处理。2、网上乘机手续可在航班预计起飞时间前一天的14点至航班预计起飞前1小时办理（部分城市可提前办理）。如果需要在网上办理乘机手续，请确保在此时间段内。3、在网上办理乘机手续之后，可以凭有效证件到机场南航柜台或机场值班主任柜台补打登机牌。参考资料来源：中国南方航空-自助值机
长沙黄花机场每天起飞多少飞机	高峰时段日均航班量接近1000架次。低的就没底了。民航资源网2017年9月30日消息：记者今日（30日）从长沙黄花机场获悉，随着今年“加长版”“十一”黄金周到来，长沙黄花机场近两日也迎来了出行客流高峰，其中9月28日、29日连续两天单日进出港客流接近13万人次。机场方面提醒旅客，出行高峰期乘机，请至少提前2小时到达机场办理乘机手续。据了解，今年国庆、中秋双节叠加，假期相连长达8天。根据以往客流规律，9月29日至10月1日将是长沙黄花机场出港客流的高峰，而返程客流将主要集中在10月7日至8日。根据预测数据，今年“十一”期间长沙黄花机场将执行航班7860架次，日均航班量接近1000架次；旅客吞吐量将达到104.9万人次，同比增长11% .
机场办理临时身份证能换驾照使用吗	临时身份证可以换驾照，临时居民身份证具有证明公民身份的法律效力。
长沙黄花机场对随身行李查的严吗？	乘坐飞机时要过安检的，在安检时，只要是液体都会认真检查的，超过一百毫升的一律不让带上飞机的。不超过一百毫升的，会根据液体的性质，让你试一下，以检验是否是不能带上飞机的液体。民航总局建议使用的塑料袋，规格为20厘米X 20厘米，容量为一升，可重新封口的透明塑料袋。 通常可在超级市场及家庭用品店找到。如果旅客没有带这种塑料袋前往机场，机场会向国际出港旅客提供，每位旅客只可取得一个。
怎样查找丢失物品在长沙黄花国际机场	旅客在安检处落下的东西会在当天移交失物招领处。
